web-scraper-order,web-scraper-start-url,category-link-0,category-link-0-href,data-page-selector,data-page-selector-href,Article-headline-0,image-0-src,Brand-0,Category-0,Product Description-0
"1758851850-1","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                Crème Visage pour Adulte SPF 50+
                                                                Ecran visage adulte SPF 50 + 40 ML
                                                            
                                                        Voir plus","https://www.gssante.com/creme-visage-pour-adulte-spf-50/?action=souscat&id_cat=38&id_cat1=52","Crème Visage pour Adulte SPF 50+","https://www.gssante.com/MtdGssante/uploads/2024/02/ecran-liren-40ml.jpg","Lirene","VITAMIN ENERGIE C+D","La lotion solaire rotative SPF50 + de Lirene offre une très haute protection aux peaux sensibles. L’émulsion imperméable fonde son action sur un système de filtres photostables sous forme de complexe UVBlock, qui protège la peau contre les effets négatifs des rayons UVA et UVB. L’association beurre de karité et allantoïne a un effet régénérant et apaisant sur la peau et la protège du dessèchement, rendant la peau délicate et veloutée au toucher. La vitamine E anti-radicalaire aide à prévenir le vieillissement cutané causé par la lumière du soleil et la protège des dommages."
"1758851853-2","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                Lotion Solaire pour peau sensible SPF 50+
                                                                Lotion protectrice SPF 50+ 175ml
                                                            
                                                        Voir plus","https://www.gssante.com/lotion-solaire-pour-peau-sensible-spf-50/?action=souscat&id_cat=38&id_cat1=52","Lotion Solaire pour peau sensible SPF 50+","https://www.gssante.com/MtdGssante/uploads/2024/02/lirene-175ml.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE SUN LOTION PROTECTRICE SPF50+ 175ML
LIRENE SUN LOTION PROTECTRICE SPF50 possède un système de filtres organiques et minéraux photostables protège efficacement la peau contre les rayons UVA et UVB nocifs et protège l’ADN des cellules contre les dommages causés par l’exposition au soleil.
Le complexe à base de beurre de karité et d’allantoïne régénère l’épiderme, apaise les irritations, et la peau bronzée retrouve un aspect sain.
LIRENE SUN LOTION PROTECTRICE SPF50 contient des actifs aux propriétés anti-radicalaires qui préviennent le vieillissement cutané.
Composition : 
Aqua (Water), Dibutyl Adipate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, C12-15 Alkyl Benzoate, Ethylhexyl Salicylate, Ethylhexyl Triazone, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Coco-Caprylate, Potassium Cetyl Phosphate, Zinc Oxide, Cetyl Alcohol, Propanediol, Dicaprylyl Carbonate, 1,2-Hexanediol, Glyceryl Stearate, Butyloctyl Salicylate, Allantoin, Glucose, Hydroxyacetophenone, Tocopheryl Acetate, Tocopherol, Undecane, Tridecane, Butyrospermum Parkii (Shea) Butter, Acrylates/C12-22 Alkyl Methacrylate Copolymer, Cetearyl Alcohol, Xanthan Gum, Cetearyl Glucoside, Arginine, Coco-Glucoside, Triethoxycaprylylsilane, Acacia Senegal Gum, Disodium Lauryl Sulfosuccinate
Conseils d’utilisation :

Appliquer la bonne quantité de LIRENE SUN LOTION PROTECTRICE SPF50sur la peau, de préférence 15 minutes avant l’exposition au soleil.
Pour une protection maximale, renouveler l’application toutes les 2 heures et après s’être essuyé, nagé ou avoir transpiré.
Une exposition excessive au soleil peut poser un risque sérieux pour la santé.
Évitez la surexposition ou protégez votre peau avec des filtres élevés lorsque le soleil est le plus fort. Protégez les bébés et les enfants des rayons directs du soleil.
Les produits de protection solaire n’offrent pas une protection à 100 %.
Afin d’atteindre le niveau de protection souhaité indiqué sur la crème solaire, les produits de protection solaire doivent être appliqués à raison de 2 mg/cm2, ce qui correspond à 6 cuillères à café d’émulsion (environ 36 grammes) sur le corps d’un adulte moyen.
Appliquer moins de produit solaire conduit à une protection moindre. Pour maintenir la protection, renouveler l’application toutes les 2 heures, après s’être essuyé, nagé ou avoir transpiré."
"1758851856-3","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                Crème Visage pour Enfants SPF 50+
                                                                Sun Kids crème visage SPF 50+ 50ml
                                                            
                                                        Voir plus","https://www.gssante.com/creme-visage-pour-enfants-spf-50/?action=souscat&id_cat=38&id_cat1=52","Crème Visage pour Enfants SPF 50+","https://www.gssante.com/MtdGssante/uploads/2024/02/lirene-50ml.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE SUN KIDS CREME VISAGE SPF50+ 50ML
LIRENE SUN KIDS CREME VISAGE SPF50 possède un système de filtres UVA et UVB photostables qui protège des coups de soleil. La formule waterproof hydrate, nourrit et protège contre les agressions extérieures. La crème minimise les irritations et peut être utilisée dès l’âge de 7 mois.
Composition :
Aqua (Water), Dibutyl Adipate, C12-15 Alkyl Benzoate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Ethylhexyl Salicylate, Ethylhexyl Triazone, Dicaprylyl Carbonate, Glycerin, Potassium Cetyl Phosphate, Glyceryl Stearate, Acrylates/C12-22 Alkyl Methacrylate Copolymer, Cetyl Alcohol, 1,2-Hexanediol, Butyloctyl Salicylate, Tripelargonin, Hydroxyacetophenone, Tocopherol, Gossypium Herbaceum (Cotton) Seed Oil, Carbomer, Arginine, Sodium Hydroxide, Xanthan Gum, Coco-Glucoside, Sodium Phytate, Disodium Lauryl Sulfosuccinate
Conseils d’utilisation : 

Appliquer une quantité appropriée de crème LIRENE SUN KIDS sur la peau du visage, de préférence 15 minutes avant l’exposition au soleil.
REMARQUE : Évitez la sur exposition au soleil – les produits de protection solaire ne fournissent pas une protection à 100 %.
Évitez la surexposition ou protégez votre peau avec des filtres élevés lorsque le soleil est le plus fort.
Protégez les bébés et les enfants des rayons directs du soleil."
"1758851860-4","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                Lait Protecteur SPF50 (Au parfum de Vanille)
                                                                Sun kids lotion Protectrice SPF50 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/lait-protecteur-spf50-au-parfum-de-vanille/?action=souscat&id_cat=38&id_cat1=52","Lait Protecteur SPF50 (Au parfum de Vanille)","https://www.gssante.com/MtdGssante/uploads/2024/02/lait-lirene-150ml.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE SUN KIDS LOTION PROTECTRICE ENFANTS SPF50 150ML
LIRENE SUN KIDS LOTION PROTECTRICE ENFANTS SPF50 possède un système de filtres UVA et UVB photostables qui protège des coups de soleil en absorbant les rayons et en bloquant leurs effets. La lotion renforce les mécanismes de défense naturels contre les rayons UV, et la teneur en vitamine E assure une bonne protection antioxydante.
L’huile de coton et les émollients hydratent et nourrissent la peau de bébé, l’empêchant de se dessécher.
LIRENE SUN KIDS Lotion waterproof à résistance renforcée à l’abrasion minimise les irritations et peut être utilisée dès l’âge de 7 mois.
Composition :
Aqua (Water), Dibutyl Adipate, Methylene Bis-Benzotriazolyl Tetramethylbutylphenol (nano), Ethylhexyl Salicylate, C12-15 Alkyl Benzoate, Diethylamino Hydroxybenzoyl Hexyl Benzoate, Glycerin, Potassium Cetyl Phosphate, Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine, Titanium Dioxide, Ethylhexyl Triazone, 1,2-Hexanediol, Cetearyl Alcohol, Dimethicone, Allantoin, Hydrolyzed Linseed Extract, Hydroxyacetophenone, Tocopheryl Acetate, Gossypium Herbaceum (Cotton) Seed Oil, Decyl Glucoside, Cetearyl Olivate, Sorbitan Olivate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Sodium Phytate, Stearic Acid, Xanthan Gum, Alumina, Propylene Glycol, Sodium Hydroxide, Phenoxyethanol, Parfum (Fragrance), Benzyl Salicylate
Conseils d’utilisation: 

Appliquer la bonne quantité de LIRENE SUN KIDS LOTIONsur la peau du corps, de préférence 15 minutes avant l’exposition au soleil.
 
Une exposition excessive au soleil peut poser un risque sérieux pour la santé.
Évitez la surexposition ou protégez votre peau avec des filtres élevés lorsque le soleil est le plus fort. Protégez les bébés et les enfants des rayons directs du soleil.
Les produits de protection solaire n’offrent pas une protection à 100 %.
Afin d’atteindre le niveau de protection souhaité indiqué sur la crème solaire, les produits de protection solaire doivent être appliqués à raison de 2 mg/cm2, ce qui correspond à 6 cuillères à café d’émulsion (environ 36 grammes) sur le corps d’un adulte moyen.
Appliquer moins de produit solaire conduit à une protection moindre. Pour maintenir la protection, renouveler l’application toutes les 2 heures, après s’être essuyé, nagé ou avoir transpiré."
"1758851863-5","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                SOS : Lotion Après Soleil
                                                                sos baume après soleil 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/sos-lotion-apres-soleil/?action=souscat&id_cat=38&id_cat1=52","SOS : Lotion Après Soleil","https://www.gssante.com/MtdGssante/uploads/2024/02/sos.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE SOS BAUME APRES SOLEIL 150ML
LIRENE SOS BAUME APRES SOLEIL est une préparation extrêmement efficace qui apaise les irritations cutanées causées par les bains de soleil. Élimine instantanément les effets d’une exposition excessive au soleil et d’une protection anti-UV insuffisante.
LIRENE SOS BAUME APRES SOLEIL a un effet apaisant sur les épidermes irrités, grâce à la dose choc de D-panthénol et d’allantoïne, qui éliminent l’effet de « brûlure de la peau ». L’huile de raisin et la vitamine E apportent un soulagement immédiat.
LIRENE APRES SOLEIL apporte un confort immédiat aux peaux sèches et irritées par le soleil. Il comble les carences en lipides et vitamines, nourrit intensément, tonifie et rétablit le niveau d’hydratation optimal. Les actifs nourrissent la peau en profondeur et lui redonnent ses fonctions. Ils renforcent son système de protection naturel, limitant le processus de vieillissement et protégeant contre les agressions extérieures.
Texture non grasse qui s’étale facilement sur les peaux irritées.
Composition : 
Aqua (Water), Glycerin, Panthenol, PPG-15 Stearyl Ether, Steareth-2, Vitis Vinifera (Grape) Seed Oil, Steareth-21, Allantoin, Cetearyl Alcohol, Dimethicone, Hydroxyacetophenone, Isohexadecane, Tocopheryl Acetate, BHT, Butyrospermum Parkii (Shea) Butter, Isopropyl Palmitate, Lanolin, Tromethamine, Stearic Acid, Palmitic Acid, Carbomer, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ethylhexylglycerin, Phenoxyethanol, Parfum (Fragrance), Limonene, Benzyl Salicylate, Linalool, Citronellol
Conseils d’utilisation : 

Appliquez LIRENE SOS BAUME APRES SOLEILsur la peau irritée et étalez-la doucement en laissant une fine couche à absorber.
Les cas de coups de soleil étendus ou profonds nécessitent des soins médicaux."
"1758851866-6","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","PROTECTION SOLAIRE","https://www.gssante.com/category/nos-produits/lirene/protection-solaire/?action=souscat&id_cat=38","protection solaire pour toute la famille
                                Huile Sèche SPF 50 (Sur peau humide et sèche)
                                                                huile sèche SPF 50 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/huile-seche-spf-50-sur-peau-humide-et-seche/?action=souscat&id_cat=38&id_cat1=52","Huile Sèche SPF 50 (Sur peau humide et sèche)","https://www.gssante.com/MtdGssante/uploads/2024/02/huil-lirene-150ml.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE HUILE SECHE SPF50 150ML
LIRENE HUILE SECHE SPF50 contient un système de filtres organiques photostables protège efficacement la peau contre les rayons UVA et UVB nocifs.
De plus l’huile d’argan contenue dans LIRENE HUILE SECHE SPF50 lubrifie et hydrate la peau en douceur, garantissant un bronzage magnifique et doré. Laisse la peau douce, lisse et veloutée au toucher.
La formule de l’huile seche lirene est riche en principes actifs sous forme d’émetteurs aux propriétés hydratantes et nourrissantes. Ils renforcent la barrière hydrolipidique de la peau, la protégeant efficacement contre le dessèchement.
Composition :
Conseils d’utilisation :

Appliquer la bonne quantité d’huile LIRENE HUILE SECHE sur la peau du corps, de préférence 15 minutes avant l’exposition au soleil.
L’huile peut être utilisée sur peau humide ou sèche.
Afin d’atteindre le niveau de protection souhaité indiqué sur la crème solaire, les produits de protection solaire doivent être appliqués à raison de 2 mg/cm2, ce qui correspond à 6 cuillères à café d’émulsion (environ 36 grammes) sur le corps d’un adulte moyen.
Appliquer moins de produit solaire conduit à une protection moindre. Pour maintenir la protection, renouveler l’application toutes les 2 heures, après s’être essuyé, nagé ou avoir transpiré.
Une exposition excessive au soleil peut être un grave danger pour la santé. Évitez la surexposition ou protégez votre peau avec un SPF élevé lorsque le soleil est le plus fort. Les produits de protection solaire n’offrent pas une protection à 100 %."
"1758851873-7","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","GELS POUR L'HYGIÈNE INTIME","https://www.gssante.com/category/nos-produits/lirene/gels-intimes/?action=souscat&id_cat=38","SOINS GYNÈCOLOGIQUE
                                GEL ANTI-INFLAMMATOIRE
                                                                Lactima Therapy 300ml
                                                            
                                                        Voir plus","https://www.gssante.com/gel-anti-inflammatoire/?action=souscat&id_cat=38&id_cat1=51","GEL ANTI-INFLAMMATOIRE","https://www.gssante.com/MtdGssante/uploads/2024/02/gel-intime-violet.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE LACTIMA THERAPY Gel Intime Anti Inflammatoire 300ML
LIRENE LACTIMA THERAPY Gel Intime Anti Inflammatoire est conçu pour le nettoyage quotidien et le soin de la zone intime féminine, également la peau sujette aux irritations et aux infections.
Efficacité confirmée par de nombreux tests effectués au Laboratoire Lirene. Produits recommandés par les gynécologues.
Formulation à base d’ingrédients actifs naturels qui répondent à divers besoins féminins. LIRENE LACTIMA THERAPY ne contient pas de savon et de colorants.
LIRENE LACTIMA THERAPY :

Favorise la réduction de l’inflammation et des rougeurs
Offre une protection durable contre les irritations
Réduit le risque de développer des infections
Nettoie et rafraîchit en douceur la zone intime
Aide à maintenir le niveau de pH physiologique naturel

LIRENE LACTIMA THERAPYContient :

L’acide lactique aide à rétablir le pH naturel de la zone intime, assurant une protection antifongique et un équilibre microbien.
L’extrait de réglisse, grâce à ses propriétés apaisantes et anti-inflammatoires, aide à améliorer les infections de la zone intime. En même temps, il a un effet bactériostatique, inhibant la croissance et la reproduction des micro-organismes. Il apaise les irritations et soulage les démangeaisons et les picotements.

Composition : 
 Aqua, Sodium Laureth Suflate, Cocamidopropyl Betaine, PEG-7 Glyceryl Cocoate, Butylene Glycol, Coco-Glucoside, Lactic Acid, Propylene Glycol, PEG-120 Methyl Glucose Trioleate, Glycyrrhetinic Acid, Methylchloroisothiazolinone, Methylisothiazolinone, Parfum, Benzyl Alcohol
Conseils d’utilisation :

Laver la zone intime en appliquant une petite quantité de LIRENE LACTIMA THERAPYsur peau humide.
Rincez abondamment.
Pour usage externe uniquement."
"1758851876-8","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","GELS POUR L'HYGIÈNE INTIME","https://www.gssante.com/category/nos-produits/lirene/gels-intimes/?action=souscat&id_cat=38","SOINS GYNÈCOLOGIQUE
                                GEL PROTECTEUR ET HYDRATANT
                                                                Lactima Duo Forte+ 300ml
                                                            
                                                        Voir plus","https://www.gssante.com/gel-protecteur-et-hydratant/?action=souscat&id_cat=38&id_cat1=51","GEL PROTECTEUR ET HYDRATANT","https://www.gssante.com/MtdGssante/uploads/2024/02/gel-intime-rose.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE LACTIMA DUO FORTE Gel Intime 300ML
LIRENE LACTIMA DUO FORTE Gel Intime a une formule spécialement conçue pour le nettoyage et le soin quotidien de la zone intime féminine sujette aux irritations et aux infections.
C’était un effet nettoyant thérapeutique et contient un double complexe innovant qui comprend de l’acide lactique et des prébiotiques :

contribue à la réduction de l’inflammation et des rougeurs. Le prébiotique naturel contenu dans la formule stimule la croissance de la microflore bactérienne physiologique qui aide à calmer les irritations et à soulager les démangeaisons et les picotements. Il offre une protection durable contre les irritations récurrentes et réduit le risque de développer des infections dans la zone intime. L’acide lactique aide à rétablir le pH naturel de la zone intime, assurant une protection antifongique et un équilibre microbien.
nettoie et rafraîchit facilement la zone intime, offrant un confort qui dure toute la journée. En raison des propriétés hydratantes de la glycérine, elle prévient le dessèchement excessif de la muqueuse.
LIRENE LACTIMA DUO FORTE ne contient pas de savon, de colorants ou de parabènes, il est exceptionnellement doux et sans danger pour la peau.

LIRENE LACTIMA DUO FORTE Gel Intime est riche en :

L’acide lactique aide à rétablir le pH naturel de la zone intime, assurant une protection antifongique et un équilibre microbien.
L’inuline stimule la croissance de la microflore bactérienne physiologique qui aide à calmer les irritations et à soulager les démangeaisons et les brûlures. Il offre une protection durable contre les irritations récurrentes et réduit le risque de développer des infections dans la zone intime.
L’urée retient l’hydratation dans les tissus, augmentant l’efficacité des produits cosmétiques. De plus, l’urée augmente la quantité d’eau dans l’épiderme. Un autre effet de l’urée dans les cosmétiques sur la peau est qu’elle permet à d’autres produits chimiques contenus dans les cosmétiques de pénétrer profondément dans la peau.
La glycérine a de très bonnes propriétés hydratantes et élimine les cellules mortes grâce à l’apport de protéines dans ce processus. Les protéines sont chargées d’organiser les cellules ensemble et d’empêcher la formation de nouvelles cellules.

Composition :
Aqua ( Water ), Sodium Laureth Sulfate, Cocamidopropyl Betaine, Glycerin, PEG-18 Glyceryl Oleate / Cocoate, Lactic Acid, Disodium EDTA, Styrene/Acrylates Copolymer, Disodium Ricinoleamido MEA-Sufosuccinate, Inulin, PEG-129 Methyl Glucose Trioleate, Propylene Glycol, Alpha-Glucan Oligosaccharide, Diazolidinyl Urea, Sodium Benzoate, Potassium Sorbate, Parfum ( Fragrance )
Conseils d’utilisation : 

Laver la zone intime en appliquant une petite quantité de LIRENE LACTIMA DUO FORTE sur peau humide.
Rincez abondamment.
Pour usage externe uniquement."
"1758851883-9","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","AQUA BUBBLES","https://www.gssante.com/category/nos-produits/lirene/aqua-bubbles/?action=souscat&id_cat=38","aqua bubbles
                                EAU TONIQUE
                                                                Eau micellaire 200ml
                                                            
                                                        Voir plus","https://www.gssante.com/eau-tonique/?action=souscat&id_cat=38&id_cat1=50","EAU TONIQUE","https://www.gssante.com/MtdGssante/uploads/2024/02/eau.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE AQUA BUBBLES FACIAL TONER est un tonique hydratant pour tous les types de peau. Maintient l’hydratation de la peau, lui donne un éclat et une apparence saine  – Lirene Aqua Bubbles.
Le tonique hydratant léger pour le visage Lirene Aqua Bubbles contient de l’eau de mer, des électrolytes et de l’acide hyaluronique sous 4 formes.
Eau de mer terrestre – L’eau de mer procure de l’éclat et une apparence saine.
Acide hyaluronique 4D – hydrate et maintient l’hydratation de la peau.
Électrolytes – sodium et cuivre : aident à équilibrer la peau."
"1758851887-10","https://www.gssante.com/category/nos-produits/lirene/vitamin-energy-cd/?action=souscat&id_cat=38","AQUA BUBBLES","https://www.gssante.com/category/nos-produits/lirene/aqua-bubbles/?action=souscat&id_cat=38","aqua bubbles
                                MOUSSE NETTOYANTE
                                                                Mousse nettoyante 150ml
                                                            
                                                        Voir plus","https://www.gssante.com/mousse-nettoyante-3/?action=souscat&id_cat=38&id_cat1=50","MOUSSE NETTOYANTE","https://www.gssante.com/MtdGssante/uploads/2024/02/mousse.jpg","Lirene","VITAMIN ENERGIE C+D","LIRENE AQUA BUBBLES Mousse nettoyante Hydratant, mousse délicate. Nourrit et hydrate la peau, lui redonnant son apparence saine – Lirene Aqua Bubbles.
Hydratation en 5 secondes Lirene Aqua Bubbles. La délicate mousse nettoyante pour le visage nourrit et hydrate la peau, lui redonnant son apparence saine.
4D acide hyaluronique – hydrate et maintient l’hydratation à l’intérieur de la peau pendant longtemps.

Électrolytes – Zinc, Cuivre, Calcium, Magnésium: équilibre la peau.

Terre Marine Eau – l’eau de mer redonne éclat et bonne mine.
Composition:
Aqua (eau), glycérine, cocamidopropyl bétaïne, bétaïne, tréhalose, gluconate de cuivre, gluconate de zinc, Maris Aqua (eau de mer), hyaluronate acétylé de sodium, hyaluronate de sodium, polymère croisé d’hyaluronate de sodium, hyaluronate de sodium hydrolysé, acide de noix de coco, chlorure de sodium, polyglycéryl- 4 Caprate, Cocoamphoacétate de sodium, Lauryl Glucoside, Sodium Cocoyl Glutamate, Sodium Lauryl Glucose Carboxylate, Hydroxyde de Sodium, Gluconate de Calcium, Pentylène Glycol, Sulfate de Magnésium, Ethylhexylglycérine, Gluconolactone, Benzoate de Sodium, Parfum (Fragrance), CI 42090 (FD&C Blue No. 1 )."
